"Cont_Target","tmin_L16","tmax_L17","tmean_L17","ndvi_L0","Agr","Gra","For","Wat","Ope","Par","Edu","Hea","Cem","Mil","Gov","Ind","Com","Tra","Inf.","Vlo","Low","Med","Hig","Vhi","RND","FloodRisk","l_sgpm_L6","uw_L5","vw_L11","rh_L4"
0,23.6499039,40.31247056,32.04130804,0.12896875,0,0,0,10.70847007,0.578611706,0.077372389,0.353281955,0,0,0,0,24.96582376,8.378081677,0,0,0,0,51.18661079,3.619666693,0.132028825,0.019503605,1.155160309,1.331288934,-2.881216109,-0.296013276,79.03892743
0.108723289,23.37196063,37.11709794,30.3101277,0.356590164,8.315382344,0,0,1.80027898,1.812023146,0,0,0,0,0,0,0.020739438,15.31240337,0,0,0,0,0,34.59053368,37.52171755,0.010554801,0.44290911,0.904052724,-3.200802969,-0.083590587,79.66317744
0,23.72787377,38.93857161,31.38568774,0.2265,0,0,0,0,0,0,0,0,0,0.88706683,0,0,39.16267476,0,0,0,0,47.88896541,0,0,0.027184403,0.262834381,1.331288934,-2.881216109,-0.296013276,79.03892743
0,24.08489131,39.96426315,32.10695163,0.169055556,0,0,0,0,0.124213233,0.86206902,0.505364089,0,0.332506096,0,5.549982447,4.532305344,30.08475354,0,0,0,45.43380625,0.485065389,0,12.08993975,0.027992744,0.282488358,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.37861083,41.40416843,32.46568165,0.329771186,0,7.67e-05,0.004618206,0.366604182,0.49560614,0.43123628,8.42e-05,0,17.71762382,0,0,4.115567296,5.15701619,0,0,0.009058067,2.977745568,5.17658033,62.14703808,1.40114181,0.021933559,0.226856875,0.911230178,-3.198728472,-0.086101919,79.66318376
0,23.08215276,41.36008211,32.27353368,0.317574297,0,1.22126138,0.190855577,0.267789609,24.70249117,0,1.422029343,0,0,0,0,0.560938542,0,0,0,4.981507684,1.768087349,15.53434169,25.81661579,23.53407484,0.02060764,0.053259379,0.884963542,-3.084753714,-0.123341448,79.68187085
0,22.77183997,33.88695044,28.38488619,0.400338983,16.05751062,0,0,0,40.45412115,0,0,0,0,0,0,2.832017427,0,0,0,0.293870588,4.70653303,7.366385216,0,0,0.011880248,0.49611856,1.196525,-2.209564904,-0.925668902,77.38075105
0,24.80129098,40.96637217,32.90737362,0.070928571,0,0,0,6.144963299,0,0,7.889277579,0,0.533783243,0,1.062637951,0,69.74903429,0,0,0,0,0,0,10.43911596,0.022233545,1.533488911,1.230806438,-2.881216109,-0.296013276,79.03892743
0,23.87221067,37.86670124,30.92591556,0.1965,0,0,0,0,0,0,3.526906634,0,0,0,0,0,10.57488975,0,0.213246683,0,0,77.26164023,0.012973362,0,0.015133068,0.071234106,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.92428391,38.57917877,31.31042429,0.203285714,0,0,6.236019669,2.49514427,0,0,0,0,0,0.372341948,0,0,0,0,0.349320198,0,0,89.24925852,1.297829766,0,0.018916168,0.282728697,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.79097872,39.54920679,31.72026503,0.214,0,0,0,0,0,0,0,0,0,0,0,0,6.613048866,0,0,0,0,71.38867914,0,21.9982453,0.006968681,0.559923912,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.40394889,41.29177584,32.38112672,0.1228,0,0,0,8.279803318,0,0,0,0,0,0,0,91.72019668,0,0,0,0,0,0,0,0,0.016070249,0.575132955,1.331288934,-2.881216109,-0.296013276,79.03892743
0.38557007,23.7391582,37.66765342,30.82212536,0.345045455,0,0,0,0,10.12862008,0,0,0,0,0,0,52.67204616,0,0,0.016699459,0,0,0,3.672095399,29.85074936,0.013550886,0.533399484,0.904052724,-3.200802969,-0.083590587,79.66317744
0,23.84013123,39.82290053,31.89451237,0.186309524,0,0,0,0,1.749830993,0,1.061743732,0,0,0,0.032952361,35.79421138,20.64825717,0,1.993491702,0,0,29.91009811,0,7.70383254,0.016134625,0.281225348,1.324471884,-2.338952654,-0.678812212,78.50664952
0,23.8199835,41.02599826,32.48532281,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145174495,98.41859757,1.43618034,0.019713204,0,1.331288934,-2.881216109,-0.296013276,79.03892743
0.307915707,22.32788212,41.99780508,32.28853884,0.218607143,0,0,0,9.29467235,0,0,2.712065739,0,0,0,0,15.40645628,1.729091458,0,0,0,0,0,70.85771418,0,0.01626612,0.56398152,1.331288934,-2.916914556,-0.290182139,79.17272683
0,22.62968536,34.79136107,28.75794143,0.490857143,51.137813,0,0,23.62229482,1.913061547,0,0,0,0,0,0,0.080439317,0,0,0,3.441805853,0,0.29048341,19.51401821,0,0.011368669,0.544294028,1.331288934,-3.047808864,-0.268801306,79.66513423
0,23.51900887,40.22057697,31.91669746,0.267625806,0,0,0,0,0,0,0,0,0,99.07905475,0,0,0.07417323,0,0,0,0,0.058767312,0,0,0.023308526,0.162676978,1.331288934,-2.881216109,-0.296013276,79.03892743
0.149566678,22.99877393,40.65362048,31.90232645,0.2325875,0,0,0,6.021864284,6.433477446,0,9.25950909,0,3.9965255,0,0,10.18228725,15.70539591,0,0.078085321,0,0,39.92934786,1.313533456,4.620973731,0.017919737,0.624507772,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.29649519,37.57421772,30.47592238,0.240374126,0,0,0,0,25.63207756,0,0.285458436,0,0,0,0,55.55637037,0.940545109,0,0.481015349,0,0,11.01989084,0.22594197,2.578541067,0.012144157,0.357890179,1.241727499,-2.338952654,-0.678812212,78.50664952
0,22.56289433,37.9737928,30.30274889,0.273,0,0,0,0.011755854,0.526836008,0,0,0,0,0,0,0.500685007,0,0,9.915199494,2.641405107,0,86.40411853,0,0,0.044286464,1.14643651,1.324471884,-2.338952654,-0.678812212,78.50664952
0,24.17914104,40.16097681,32.23358516,0.185,0,0,0,9.474369696,0,53.98460943,2.887126371,0,0,0,0,13.89125319,5.146286262,1.795552392,0,0,0,12.82080533,0,0,0.015820204,0.652558388,1.331288934,-2.881216109,-0.296013276,79.03892743
0.187017785,23.79353624,39.66277553,31.78126161,0.202292208,0,0,0,0,3.555445298,0,2.053400576,0,2.675432649,0,0.780404123,30.8555483,13.14756655,0,0.374078891,0,0,23.98022577,20.45653417,0.445628315,0.018261227,0.221375256,1.241727499,-2.338952654,-0.678812212,78.50664952
0.19230563,20.71941629,35.95194688,28.39150567,0.269673913,0,0,0,14.80082991,26.15851104,0,0.479790207,0,0,0,0,8.272234493,0,0,7.322971268,0,0,8.613709242,0,34.35194215,0.007361907,1.019448406,1.241727499,-2.338952654,-0.678812212,78.50664952
0.231835742,23.27050527,41.36175881,32.38445236,0.130909091,0,0,0,10.56553673,0,2.556730102,1.041182372,0,0,0,0,0,0.802487183,0,0,0,16.6759116,45.69855813,22.65959389,0,0.020099224,0.478569722,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.73105348,36.66148017,30.26995069,0.242,0,0,0,0,0,0,0,15.39845913,0,0,21.28123849,0,25.50471933,0,2.250653336,0,0,35.10990787,0.019082207,0,0.024058375,0.471293199,1.326011584,-2.460685266,-0.592877757,78.62574921
0,23.92609098,40.10558319,32.05528623,0.155333333,0,0,0,0,0,0,0,0,0,0,0,0,2.982207601,0,0,0,0,97.0177924,0,0,0.030604874,1.207098777,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.16460394,35.41128283,29.38942675,0.130278788,0,0,0,62.96720002,1.577063231,0,0,0,0,0,0,0.051788713,0.083884028,0,0,0,1.359368739,33.08657094,0,0,0.004821038,0.187521255,1.231175244,-2.308370095,-0.737160157,78.2389116
0.722626079,22.34465282,41.31209545,31.9120963,0.162586207,0,0,0,3.06843134,0,0,3.471629826,0,0,0,0,0,8.852642329,0,0,0,0,0,84.6072965,0,0.023066982,0.361035372,1.331288934,-3.047808864,-0.268801306,79.66513423
0.065467649,22.42560605,37.87869462,30.1862202,0.296125475,0,0.44183151,0.137812402,0,0.939187659,0,2.002765022,0.26242828,0.337278047,0,3.31297918,0.02123426,1.023343258,0,53.77952713,17.50005056,9.678228751,10.56342066,0,0,0.024773635,0.246499173,1.331057938,-2.357243939,-0.675412926,78.55611146
0,21.73245978,33.72533262,27.79465444,0.104285714,0,0,0,9.549719622,7.343213225,0,0,0,0,0,0,0,0,0,3.281809256,0,0,0.006662174,64.73122957,15.08736335,0.012776857,0.55320756,1.241727499,-2.338952654,-0.678812212,78.50664952
0.116554861,22.95811514,36.63946403,29.84704612,0.264526627,11.07794338,5.18508108,0.303155025,0.747314989,5.507861936,0.234018386,1.564971073,0,0.323243703,0,0.288702758,9.558896048,0.132363606,0.350960518,0,4.626901664,6.57336469,30.53331956,15.2689929,2.79674053,0.018592974,1.46423966,1.470012856,-2.822765366,-0.587303719,79.81111479
0,23.08259454,37.69693452,30.43945302,0.3248,0,0,0,0,0,0,1.140383931,0.138098178,1.086003629,0,2.622997369,0.190420971,5.626317783,0,0,0,26.99741267,61.64512433,0,0,0.024252743,0.628393222,1.431525712,-3.229050779,-0.391351115,79.48282986
0,23.48846176,40.0520117,31.76484655,0.163185185,0,0,0,0,3.748282242,11.41137988,11.54688025,0,4.442671911,0,3.350132316,11.66599232,2.43141522,0,7.094846161,0,7.442039501,33.79031843,3.076041757,0,0.027983027,0.092071967,1.331288934,-2.881216109,-0.296013276,79.03892743
0.11212677,23.12608118,35.80657993,29.53696002,0.240009091,0,0,0,0,0.6133806,0,1.798896825,0,0,0,0,1.917563401,2.372593128,0,9.006651708,7.869327723,70.22480574,5.610514126,0.090885801,0.494883671,0.018915093,0.512093054,1.324471884,-2.338952654,-0.678812212,78.50664952
0.070467552,23.63006589,39.24916518,31.51421496,0.320043578,0.557208667,0,0,0.073869197,7.014516805,0,4.857658705,0,0,0,0.001616907,18.07283153,1.251950843,0,0,0.449504794,19.23862933,21.45347934,10.19767872,15.60017003,0.017817584,0.464498641,0.904052724,-3.200802969,-0.083590587,79.66317744
0.351152239,22.91143466,39.4450081,31.18894294,0.163823529,0,0,0,0,3.501935622,0,0.643629959,0,2.885697603,0,0,16.66150673,13.22764888,1.789839753,0.878065463,0,0,0.378807192,39.86545812,17.53026189,0.027913938,0.448261944,1.241727499,-2.338952654,-0.678812212,78.50664952
0,23.37023204,42.08275367,32.73672383,0.126652174,0,0,0,0,0,0,0.455384592,0,41.82429677,0,0,8.172242658,20.97488736,0,0,0,0,3.57122268,21.31983913,0,0.022239256,0.390643842,1.237328821,-2.559001592,-0.523473513,78.72209537
0,23.48212359,41.97783519,32.74067005,0.134777778,0,0,0,0,0,0,0,0,0.216708634,0,0,11.31348417,0.783051672,0,0.388074661,0,0,85.48166619,0.120023067,0,0.025858703,0.292612617,1.236907567,-2.579958634,-0.508679352,78.7426214
0,23.27801763,41.86186296,32.60511262,0.160816667,0,0,0,0,0,0,1.158303364,0.91387532,0.046481746,0,0,59.34733874,14.9712962,0.599045291,0,0,0,17.69125545,3.984963455,0,0.017260815,0.146165322,1.241727499,-2.338952654,-0.678812212,78.50664952
0,23.24918134,41.51761684,32.42466851,0.155944444,0,0,0,0,0,0,0,0,0,0,0,3.437133114,10.3114898,0,0,0,0,82.17894528,0,0,0.02972655,0.132293291,1.241727499,-2.338952654,-0.678812212,78.50664952
0,23.33536038,39.35150896,31.39476816,0.333066667,4.57e-05,0,1.715258744,1.832634996,10.93314945,0,0.15461357,0,8.401790464,0,0,16.57843416,3.669548731,0,1.062704425,0.021297492,0,22.41704341,3.593442926,26.48851636,0.018536925,0.355237638,1.299195268,-2.338952654,-0.678812212,78.50664952
0.005984286,22.71363087,36.51894034,29.67154216,0.372183252,2.447541571,0.189505158,0.144677321,0,16.82226116,0.707307681,0.488992568,0.248203316,0.943664029,0,0.078051165,6.039036255,1.351065339,0,0.645283331,6.932054985,10.93265143,28.7386726,22.41297185,0,0.022106994,0.348388579,1.229435453,-2.228562505,-0.889423703,77.54496759
0,22.25186309,35.83684044,29.09013002,0.534460746,0.337959423,0.006127499,0.712862648,0,2.050848899,0.086343548,0.426617853,2.306125852,0.619882019,0,0.029524114,2.537915931,0.290179218,0,0,18.31771502,7.977703073,21.99465117,41.84690498,0,0.017121784,0.228583403,1.23190545,-2.240079646,-0.916141159,77.59151203
0.059614615,22.67978106,40.94707044,31.79298405,0.132693069,0,0,0,0,0,0,6.67360843,0,0.096069283,0,0.944403163,21.69595123,11.89985911,0.260891138,2.205640103,0,0,0,49.07375222,3.775427668,0.020225648,0.387944787,1.241727499,-2.338952654,-0.678812212,78.50664952
0.048317105,22.73828079,40.77230962,31.75031089,0.113806452,0,0,0,8.993331028,0.133785039,0,1.654270967,0.84411596,0,0,0.218312295,5.230522777,5.490260371,3.238123212,15.11639621,0,0,0,50.50097276,6.79976321,0.022283542,1.120299598,1.233414823,-2.752938732,-0.386567863,78.91259794
0,23.32161012,41.84000949,32.58868553,0.128918919,0,0,0,0,3.606753762,0,0,0,0.082003701,0,0,6.284883335,40.25563987,0,0,0,0,11.09126409,20.78564291,17.36323473,0.021727689,0.305625542,1.232596183,-2.793281494,-0.358088779,78.95227879
0,23.04011216,42.44549463,32.75473081,0.113826087,0,0,0,0,0.311816038,0,2.726902295,0,0.676777786,0,0,26.24778482,24.76170438,1.778366128,0,0,0,0,37.27226722,0,0.02083476,0.30558621,1.241727499,-2.338952654,-0.678812212,78.50664952
0,22.7850626,42.42543753,32.62349179,0.132340909,0,0,0,0,0,0,6.04470752,0,0,0,0,11.00724883,16.2879572,0.385188715,0.500325054,0,0,0,63.69945479,0,0.026479388,0.288462533,1.241727499,-2.338952654,-0.678812212,78.50664952
0.298922438,22.62790861,42.02866092,32.36188041,0.156690476,0,0,0,0,0,0,9.51516981,0,0,0,0,14.11251371,14.41249262,15.66914884,10.56850918,0,0,20.1584592,11.87208947,0,0.017995471,0.176861443,1.241727499,-2.338952654,-0.678812212,78.50664952
0,23.11549333,42.35369111,32.77005547,0.150897436,0,0,0,0,0.736761561,0,8.971340016,0.946514496,0.35700687,0,0,14.56442951,23.51461545,0,0,0,0,17.759076,27.09432877,0,0.020713921,0.249345057,1.241727499,-2.338952654,-0.678812212,78.50664952
